web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668294391-533,https://www.zerozero.pt/edition.php?jornada_in=28&id_edicao=156405&fase=150343,Santa Clara,10,31,7,10,11,30,46,Jornada 28
1668294391-534,https://www.zerozero.pt/edition.php?jornada_in=28&id_edicao=156405&fase=150343,Boavista,11,30,5,15,8,33,41,Jornada 28
1668294391-535,https://www.zerozero.pt/edition.php?jornada_in=28&id_edicao=156405&fase=150343,Portimonense,12,29,7,8,13,26,34,Jornada 28
1668294391-536,https://www.zerozero.pt/edition.php?jornada_in=28&id_edicao=156405&fase=150343,FC Vizela,13,29,6,11,11,31,46,Jornada 28
1668294391-537,https://www.zerozero.pt/edition.php?jornada_in=28&id_edicao=156405&fase=150343,FC Famalicão,14,28,6,10,12,34,43,Jornada 28
1668294391-538,https://www.zerozero.pt/edition.php?jornada_in=28&id_edicao=156405&fase=150343,FC Arouca,15,26,6,8,14,27,49,Jornada 28
1668294391-539,https://www.zerozero.pt/edition.php?jornada_in=28&id_edicao=156405&fase=150343,CD Tondela,16,25,7,4,17,36,55,Jornada 28
1668294391-540,https://www.zerozero.pt/edition.php?jornada_in=28&id_edicao=156405&fase=150343,B SAD,17,21,4,9,15,17,46,Jornada 28
1668294391-541,https://www.zerozero.pt/edition.php?jornada_in=28&id_edicao=156405&fase=150343,Moreirense,18,20,4,8,16,24,45,Jornada 28
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668294351-506,https://www.zerozero.pt/edition.php?jornada_in=27&id_edicao=156405&fase=150343,FC Porto,1,73,23,4,0,68,19,Jornada 27
1668294351-507,https://www.zerozero.pt/edition.php?jornada_in=27&id_edicao=156405&fase=150343,Sporting,2,67,21,4,2,54,17,Jornada 27
1668294351-508,https://www.zerozero.pt/edition.php?jornada_in=27&id_edicao=156405&fase=150343,Benfica,3,61,19,4,4,68,25,Jornada 27
1668294351-509,https://www.zerozero.pt/edition.php?jornada_in=27&id_edicao=156405&fase=150343,SC Braga,4,49,14,7,6,43,26,Jornada 27
1668294351-510,https://www.zerozero.pt/edition.php?jornada_in=27&id_edicao=156405&fase=150343,Gil Vicente,5,46,12,10,5,38,26,Jornada 27
1668294351-511,https://www.zerozero.pt/edition.php?jornada_in=27&id_edicao=156405&fase=150343,Vitória SC,6,36,10,6,11,37,37,Jornada 27
1668294351-512,https://www.zerozero.pt/edition.php?jornada_in=27&id_edicao=156405&fase=150343,Estoril Praia,7,34,8,10,9,31,32,Jornada 27
1668294351-513,https://www.zerozero.pt/edition.php?jornada_in=27&id_edicao=156405&fase=150343,Marítimo,8,33,8,9,10,31,34,Jornada 27
1668294351-514,https://www.zerozero.pt/edition.php?jornada_in=27&id_edicao=156405&fase=150343,Paços de Ferreira,9,33,8,9,10,25,32,Jornada 27
1668294351-515,https://www.zerozero.pt/edition.php?jornada_in=27&id_edicao=156405&fase=150343,Santa Clara,10,31,7,10,10,30,43,Jornada 27
1668294351-516,https://www.zerozero.pt/edition.php?jornada_in=27&id_edicao=156405&fase=150343,Portimonense,11,29,7,8,12,26,32,Jornada 27
1668294351-517,https://www.zerozero.pt/edition.php?jornada_in=27&id_edicao=156405&fase=150343,FC Famalicão,12,28,6,10,11,33,41,Jornada 27
1668294351-518,https://www.zerozero.pt/edition.php?jornada_in=27&id_edicao=156405&fase=150343,Boavista,13,27,4,15,8,31,40,Jornada 27
1668294351-519,https://www.zerozero.pt/edition.php?jornada_in=27&id_edicao=156405&fase=150343,FC Vizela,14,26,5,11,11,29,45,Jornada 27
1668294351-520,https://www.zerozero.pt/edition.php?jornada_in=27&id_edicao=156405&fase=150343,FC Arouca,15,23,5,8,14,25,48,Jornada 27
1668294351-521,https://www.zerozero.pt/edition.php?jornada_in=27&id_edicao=156405&fase=150343,CD Tondela,16,22,6,4,17,33,54,Jornada 27
1668294351-522,https://www.zerozero.pt/edition.php?jornada_in=27&id_edicao=156405&fase=150343,Moreirense,17,20,4,8,15,24,44,Jornada 27
1668294351-523,https://www.zerozero.pt/edition.php?jornada_in=27&id_edicao=156405&fase=150343,B SAD,18,18,3,9,15,15,46,Jornada 27
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668294311-488,https://www.zerozero.pt/edition.php?jornada_in=26&id_edicao=156405&fase=150343,FC Porto,1,70,22,4,0,67,19,Jornada 26
1668294311-489,https://www.zerozero.pt/edition.php?jornada_in=26&id_edicao=156405&fase=150343,Sporting,2,64,20,4,2,51,16,Jornada 26
1668294311-490,https://www.zerozero.pt/edition.php?jornada_in=26&id_edicao=156405&fase=150343,Benfica,3,58,18,4,4,66,24,Jornada 26
1668294311-491,https://www.zerozero.pt/edition.php?jornada_in=26&id_edicao=156405&fase=150343,SC Braga,4,46,13,7,6,41,25,Jornada 26
1668294311-492,https://www.zerozero.pt/edition.php?jornada_in=26&id_edicao=156405&fase=150343,Gil Vicente,5,45,12,9,5,37,25,Jornada 26
1668294311-493,https://www.zerozero.pt/edition.php?jornada_in=26&id_edicao=156405&fase=150343,Vitória SC,6,36,10,6,10,36,34,Jornada 26
1668294311-494,https://www.zerozero.pt/edition.php?jornada_in=26&id_edicao=156405&fase=150343,Estoril Praia,7,34,8,10,8,30,30,Jornada 26
1668294311-495,https://www.zerozero.pt/edition.php?jornada_in=26&id_edicao=156405&fase=150343,Marítimo,8,32,8,8,10,30,33,Jornada 26
1668294311-496,https://www.zerozero.pt/edition.php?jornada_in=26&id_edicao=156405&fase=150343,Paços de Ferreira,9,30,7,9,10,23,31,Jornada 26
1668294311-497,https://www.zerozero.pt/edition.php?jornada_in=26&id_edicao=156405&fase=150343,Santa Clara,10,30,7,9,10,30,43,Jornada 26
1668294311-498,https://www.zerozero.pt/edition.php?jornada_in=26&id_edicao=156405&fase=150343,Portimonense,11,29,7,8,11,25,30,Jornada 26
1668294311-499,https://www.zerozero.pt/edition.php?jornada_in=26&id_edicao=156405&fase=150343,FC Famalicão,12,27,6,9,11,32,40,Jornada 26
1668294311-500,https://www.zerozero.pt/edition.php?jornada_in=26&id_edicao=156405&fase=150343,Boavista,13,27,4,15,7,31,39,Jornada 26
1668294311-501,https://www.zerozero.pt/edition.php?jornada_in=26&id_edicao=156405&fase=150343,FC Vizela,14,25,5,10,11,28,44,Jornada 26
1668294311-502,https://www.zerozero.pt/edition.php?jornada_in=26&id_edicao=156405&fase=150343,FC Arouca,15,22,5,7,14,23,46,Jornada 26
1668294311-503,https://www.zerozero.pt/edition.php?jornada_in=26&id_edicao=156405&fase=150343,CD Tondela,16,21,6,3,17,31,52,Jornada 26
1668294311-504,https://www.zerozero.pt/edition.php?jornada_in=26&id_edicao=156405&fase=150343,Moreirense,17,20,4,8,14,23,42,Jornada 26
1668294311-505,https://www.zerozero.pt/edition.php?jornada_in=26&id_edicao=156405&fase=150343,B SAD,18,17,3,8,15,15,46,Jornada 26
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668294281-470,https://www.zerozero.pt/edition.php?jornada_in=25&id_edicao=156405&fase=150343,FC Porto,1,67,21,4,0,63,19,Jornada 25
1668294281-471,https://www.zerozero.pt/edition.php?jornada_in=25&id_edicao=156405&fase=150343,Sporting,2,61,19,4,2,49,16,Jornada 25
1668294281-472,https://www.zerozero.pt/edition.php?jornada_in=25&id_edicao=156405&fase=150343,Benfica,3,57,18,3,4,65,23,Jornada 25
1668294281-473,https://www.zerozero.pt/edition.php?jornada_in=25&id_edicao=156405&fase=150343,SC Braga,4,46,13,7,5,41,24,Jornada 25
1668294281-474,https://www.zerozero.pt/edition.php?jornada_in=25&id_edicao=156405&fase=150343,Gil Vicente,5,42,11,9,5,36,25,Jornada 25
1668294281-475,https://www.zerozero.pt/edition.php?jornada_in=25&id_edicao=156405&fase=150343,Vitória SC,6,33,9,6,10,35,34,Jornada 25
1668294281-476,https://www.zerozero.pt/edition.php?jornada_in=25&id_edicao=156405&fase=150343,Marítimo,7,32,8,8,9,30,32,Jornada 25
1668294281-477,https://www.zerozero.pt/edition.php?jornada_in=25&id_edicao=156405&fase=150343,Estoril Praia,8,31,7,10,8,28,30,Jornada 25
1668294281-478,https://www.zerozero.pt/edition.php?jornada_in=25&id_edicao=156405&fase=150343,Portimonense,9,29,7,8,10,25,28,Jornada 25
1668294281-479,https://www.zerozero.pt/edition.php?jornada_in=25&id_edicao=156405&fase=150343,Santa Clara,10,29,7,8,10,30,43,Jornada 25
1668294281-480,https://www.zerozero.pt/edition.php?jornada_in=25&id_edicao=156405&fase=150343,Paços de Ferreira,11,27,6,9,10,22,31,Jornada 25
1668294281-481,https://www.zerozero.pt/edition.php?jornada_in=25&id_edicao=156405&fase=150343,FC Famalicão,12,26,6,8,11,32,40,Jornada 25
1668294281-482,https://www.zerozero.pt/edition.php?jornada_in=25&id_edicao=156405&fase=150343,Boavista,13,26,4,14,7,31,39,Jornada 25
1668294281-483,https://www.zerozero.pt/edition.php?jornada_in=25&id_edicao=156405&fase=150343,FC Vizela,14,24,5,9,11,27,43,Jornada 25
1668294281-484,https://www.zerozero.pt/edition.php?jornada_in=25&id_edicao=156405&fase=150343,FC Arouca,15,22,5,7,13,23,45,Jornada 25
1668294281-485,https://www.zerozero.pt/edition.php?jornada_in=25&id_edicao=156405&fase=150343,CD Tondela,16,21,6,3,16,31,48,Jornada 25
1668294281-486,https://www.zerozero.pt/edition.php?jornada_in=25&id_edicao=156405&fase=150343,Moreirense,17,20,4,8,13,23,40,Jornada 25
1668294281-487,https://www.zerozero.pt/edition.php?jornada_in=25&id_edicao=156405&fase=150343,B SAD,18,16,3,7,15,15,46,Jornada 25
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668294217-452,https://www.zerozero.pt/edition.php?jornada_in=24&id_edicao=156405&fase=150343,FC Porto,1,64,20,4,0,59,17,Jornada 24
1668294217-453,https://www.zerozero.pt/edition.php?jornada_in=24&id_edicao=156405&fase=150343,Sporting,2,58,18,4,2,47,16,Jornada 24
1668294217-454,https://www.zerozero.pt/edition.php?jornada_in=24&id_edicao=156405&fase=150343,Benfica,3,54,17,3,4,63,22,Jornada 24
1668294217-455,https://www.zerozero.pt/edition.php?jornada_in=24&id_edicao=156405&fase=150343,SC Braga,4,45,13,6,5,40,23,Jornada 24
1668294217-456,https://www.zerozero.pt/edition.php?jornada_in=24&id_edicao=156405&fase=150343,Gil Vicente,5,41,11,8,5,36,25,Jornada 24
1668294217-457,https://www.zerozero.pt/edition.php?jornada_in=24&id_edicao=156405&fase=150343,Vitória SC,6,30,8,6,10,33,33,Jornada 24
1668294217-458,https://www.zerozero.pt/edition.php?jornada_in=24&id_edicao=156405&fase=150343,Estoril Praia,7,30,7,9,8,28,30,Jornada 24
1668294217-459,https://www.zerozero.pt/edition.php?jornada_in=24&id_edicao=156405&fase=150343,Marítimo,8,29,7,8,9,29,32,Jornada 24
1668294217-460,https://www.zerozero.pt/edition.php?jornada_in=24&id_edicao=156405&fase=150343,Portimonense,9,29,7,8,9,24,26,Jornada 24
1668294217-461,https://www.zerozero.pt/edition.php?jornada_in=24&id_edicao=156405&fase=150343,Paços de Ferreira,10,27,6,9,9,20,27,Jornada 24
1668294217-462,https://www.zerozero.pt/edition.php?jornada_in=24&id_edicao=156405&fase=150343,FC Famalicão,11,26,6,8,10,31,38,Jornada 24
1668294217-463,https://www.zerozero.pt/edition.php?jornada_in=24&id_edicao=156405&fase=150343,Santa Clara,12,26,6,8,10,27,42,Jornada 24
1668294217-464,https://www.zerozero.pt/edition.php?jornada_in=24&id_edicao=156405&fase=150343,Boavista,13,25,4,13,7,30,38,Jornada 24
1668294217-465,https://www.zerozero.pt/edition.php?jornada_in=24&id_edicao=156405&fase=150343,FC Vizela,14,24,5,9,10,26,40,Jornada 24
1668294217-466,https://www.zerozero.pt/edition.php?jornada_in=24&id_edicao=156405&fase=150343,FC Arouca,15,22,5,7,12,23,43,Jornada 24
1668294217-467,https://www.zerozero.pt/edition.php?jornada_in=24&id_edicao=156405&fase=150343,CD Tondela,16,20,6,2,16,30,47,Jornada 24
1668294217-468,https://www.zerozero.pt/edition.php?jornada_in=24&id_edicao=156405&fase=150343,Moreirense,17,20,4,8,12,23,39,Jornada 24
1668294217-469,https://www.zerozero.pt/edition.php?jornada_in=24&id_edicao=156405&fase=150343,B SAD,18,15,3,6,15,14,45,Jornada 24
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668294171-434,https://www.zerozero.pt/edition.php?jornada_in=23&id_edicao=156405&fase=150343,FC Porto,1,63,20,3,0,58,16,Jornada 23
1668294171-435,https://www.zerozero.pt/edition.php?jornada_in=23&id_edicao=156405&fase=150343,Sporting,2,57,18,3,2,46,15,Jornada 23
1668294171-436,https://www.zerozero.pt/edition.php?jornada_in=23&id_edicao=156405&fase=150343,Benfica,3,51,16,3,4,60,22,Jornada 23
1668294171-437,https://www.zerozero.pt/edition.php?jornada_in=23&id_edicao=156405&fase=150343,SC Braga,4,44,13,5,5,40,23,Jornada 23
1668294171-438,https://www.zerozero.pt/edition.php?jornada_in=23&id_edicao=156405&fase=150343,Gil Vicente,5,40,11,7,5,35,24,Jornada 23
1668294171-439,https://www.zerozero.pt/edition.php?jornada_in=23&id_edicao=156405&fase=150343,Vitória SC,6,30,8,6,9,33,30,Jornada 23
1668294171-440,https://www.zerozero.pt/edition.php?jornada_in=23&id_edicao=156405&fase=150343,Estoril Praia,7,30,7,9,7,26,27,Jornada 23
1668294171-441,https://www.zerozero.pt/edition.php?jornada_in=23&id_edicao=156405&fase=150343,Marítimo,8,28,7,7,9,28,31,Jornada 23
1668294171-442,https://www.zerozero.pt/edition.php?jornada_in=23&id_edicao=156405&fase=150343,Portimonense,9,28,7,7,9,23,25,Jornada 23
1668294171-443,https://www.zerozero.pt/edition.php?jornada_in=23&id_edicao=156405&fase=150343,Santa Clara,10,25,6,7,10,27,42,Jornada 23
1668294171-444,https://www.zerozero.pt/edition.php?jornada_in=23&id_edicao=156405&fase=150343,Paços de Ferreira,11,24,5,9,9,18,27,Jornada 23
1668294171-445,https://www.zerozero.pt/edition.php?jornada_in=23&id_edicao=156405&fase=150343,FC Vizela,12,23,5,8,10,25,39,Jornada 23
1668294171-446,https://www.zerozero.pt/edition.php?jornada_in=23&id_edicao=156405&fase=150343,FC Famalicão,13,23,5,8,10,29,37,Jornada 23
1668294171-447,https://www.zerozero.pt/edition.php?jornada_in=23&id_edicao=156405&fase=150343,Boavista,14,22,3,13,7,27,36,Jornada 23
1668294171-448,https://www.zerozero.pt/edition.php?jornada_in=23&id_edicao=156405&fase=150343,FC Arouca,15,21,5,6,12,22,42,Jornada 23
1668294171-449,https://www.zerozero.pt/edition.php?jornada_in=23&id_edicao=156405&fase=150343,CD Tondela,16,20,6,2,15,29,45,Jornada 23
1668294171-450,https://www.zerozero.pt/edition.php?jornada_in=23&id_edicao=156405&fase=150343,Moreirense,17,19,4,7,12,22,38,Jornada 23
1668294171-451,https://www.zerozero.pt/edition.php?jornada_in=23&id_edicao=156405&fase=150343,B SAD,18,15,3,6,14,14,43,Jornada 23
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668294136-416,https://www.zerozero.pt/edition.php?jornada_in=22&id_edicao=156405&fase=150343,FC Porto,1,60,19,3,0,57,16,Jornada 22
1668294136-417,https://www.zerozero.pt/edition.php?jornada_in=22&id_edicao=156405&fase=150343,Sporting,2,54,17,3,2,43,15,Jornada 22
1668294136-418,https://www.zerozero.pt/edition.php?jornada_in=22&id_edicao=156405&fase=150343,Benfica,3,50,16,2,4,58,20,Jornada 22
1668294136-419,https://www.zerozero.pt/edition.php?jornada_in=22&id_edicao=156405&fase=150343,SC Braga,4,41,12,5,5,39,23,Jornada 22
1668294136-420,https://www.zerozero.pt/edition.php?jornada_in=22&id_edicao=156405&fase=150343,Gil Vicente,5,37,10,7,5,33,24,Jornada 22
1668294136-421,https://www.zerozero.pt/edition.php?jornada_in=22&id_edicao=156405&fase=150343,Vitória SC,6,30,8,6,8,32,27,Jornada 22
1668294136-422,https://www.zerozero.pt/edition.php?jornada_in=22&id_edicao=156405&fase=150343,Estoril Praia,7,30,7,9,6,26,24,Jornada 22
1668294136-423,https://www.zerozero.pt/edition.php?jornada_in=22&id_edicao=156405&fase=150343,Marítimo,8,28,7,7,8,28,30,Jornada 22
1668294136-424,https://www.zerozero.pt/edition.php?jornada_in=22&id_edicao=156405&fase=150343,Portimonense,9,27,7,6,9,22,24,Jornada 22
1668294136-425,https://www.zerozero.pt/edition.php?jornada_in=22&id_edicao=156405&fase=150343,Santa Clara,10,24,6,6,10,26,41,Jornada 22
1668294136-426,https://www.zerozero.pt/edition.php?jornada_in=22&id_edicao=156405&fase=150343,FC Vizela,11,23,5,8,9,24,37,Jornada 22
1668294136-427,https://www.zerozero.pt/edition.php?jornada_in=22&id_edicao=156405&fase=150343,Boavista,12,21,3,12,7,25,34,Jornada 22
1668294136-428,https://www.zerozero.pt/edition.php?jornada_in=22&id_edicao=156405&fase=150343,Paços de Ferreira,13,21,4,9,9,16,26,Jornada 22
1668294136-429,https://www.zerozero.pt/edition.php?jornada_in=22&id_edicao=156405&fase=150343,CD Tondela,14,20,6,2,14,29,44,Jornada 22
1668294136-430,https://www.zerozero.pt/edition.php?jornada_in=22&id_edicao=156405&fase=150343,FC Famalicão,15,20,4,8,10,28,37,Jornada 22
1668294136-431,https://www.zerozero.pt/edition.php?jornada_in=22&id_edicao=156405&fase=150343,Moreirense,16,19,4,7,11,22,37,Jornada 22
1668294136-432,https://www.zerozero.pt/edition.php?jornada_in=22&id_edicao=156405&fase=150343,FC Arouca,17,18,4,6,12,19,41,Jornada 22
1668294136-433,https://www.zerozero.pt/edition.php?jornada_in=22&id_edicao=156405&fase=150343,B SAD,18,15,3,6,13,14,41,Jornada 22
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668294095-398,https://www.zerozero.pt/edition.php?jornada_in=21&id_edicao=156405&fase=150343,FC Porto,1,59,19,2,0,55,14,Jornada 21
